Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
213,Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,1996,13,8,707,7.9,1,1,2,1,0,0,1,0
214,Marc Guéhi,eng ENG,DF,Crystal Palace,22,2000,37,37,"3,329",37.0,1,0,1,1,0,0,8,0
215,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,1997,32,32,"2,726",30.3,4,5,9,4,0,0,7,0
216,İlkay Gündoğan,de GER,MF,Manchester City,31,1990,31,27,"2,353",26.1,8,4,12,8,0,1,0,0
217,Darko Gyabi,eng ENG,FW,Leeds United,18,2004,1,0,8,0.1,0,0,0,0,0,0,0,0
218,Erling Haaland,no NOR,FW,Manchester City,22,2000,35,33,"2,769",30.8,36,8,44,29,7,7,5,0
219,Lewis Hall,eng ENG,DF,Chelsea,17,2004,9,8,654,7.3,0,0,0,0,0,0,1,0
220,Luke Harris,wls WAL,"MF,FW",Fulham,17,2005,3,0,13,0.1,0,0,0,0,0,0,0,0
221,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,1996,36,34,"2,708",30.1,5,7,12,5,0,0,2,0
222,Kai Havertz,de GER,"FW,MF",Chelsea,23,1999,35,30,"2,569",28.5,7,1,8,6,1,1,5,0
223,Jan Paul van Hecke,nl NED,DF,Brighton,22,2000,8,3,295,3.3,0,0,0,0,0,0,2,0
224,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,1996,27,12,"1,130",12.6,3,1,4,3,0,0,1,0
225,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,1997,18,18,"1,620",18.0,0,0,0,0,0,0,2,0
226,Jordan Henderson,eng ENG,MF,Liverpool,32,1990,35,23,"2,074",23.0,0,2,2,0,0,0,2,0
227,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,1987,4,3,271,3.0,0,0,0,0,0,0,0,0
228,Rico Henry,eng ENG,DF,Brentford,25,1997,37,37,"3,238",36.0,0,2,2,0,0,0,4,0
229,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,1992,36,33,"2,888",32.1,10,6,16,10,0,0,2,0
230,Aaron Hickey,sct SCO,DF,Brentford,20,2002,26,23,"1,916",21.3,0,1,1,0,0,0,7,0
231,Jack Hinshelwood,eng ENG,FW,Brighton,17,2005,1,0,2,0.0,0,0,0,0,0,0,0,0
232,Joseph Hodge,ie IRL,MF,Wolves,19,2002,6,1,175,1.9,0,0,0,0,0,0,1,0
233,Rob Holding,eng ENG,DF,Arsenal,26,1995,14,6,566,6.3,1,0,1,1,0,0,0,0
234,Mason Holgate,eng ENG,DF,Everton,25,1996,8,5,507,5.6,0,0,0,0,0,0,3,1
235,Will Hughes,eng ENG,MF,Crystal Palace,27,1995,27,7,842,9.4,1,1,2,1,0,0,4,0
236,Omari Hutchinson,eng ENG,FW,Chelsea,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0
237,Pierre Højbjerg,dk DEN,MF,Tottenham,26,1995,35,35,"3,131",34.8,4,5,9,4,0,0,5,0
238,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,1996,28,11,"1,127",12.5,5,5,10,4,1,1,0,0
239,Danny Ings,eng ENG,FW,West Ham,30,1992,17,7,775,8.6,2,2,4,2,0,0,1,0
240,Danny Ings,eng ENG,FW,Aston Villa,30,1992,18,8,824,9.2,6,0,6,4,2,2,3,0
241,Alexander Isak,se SWE,FW,Newcastle Utd,22,1999,22,17,"1,522",16.9,10,1,11,8,2,2,3,0
242,Daniel Iversen,dk DEN,GK,Leicester City,25,1997,12,12,"1,080",12.0,0,0,0,0,0,0,0,0
243,Alex Iwobi,ng NGA,"MF,FW",Everton,26,1996,38,38,"3,378",37.5,2,7,9,2,0,0,2,0
244,Daniel James,wls WAL,FW,Leeds United,24,1997,4,2,198,2.2,0,0,0,0,0,0,0,0
245,Daniel James,wls WAL,FW,Fulham,24,1997,20,5,621,6.9,2,1,3,2,0,0,0,0
246,Reece James,eng ENG,"DF,MF",Chelsea,22,1999,16,14,"1,244",13.8,1,1,2,1,0,0,4,0
247,Vitaly Janelt,de GER,"MF,DF",Brentford,24,1998,35,24,"2,208",24.5,3,1,4,3,0,0,3,0
248,Pontus Jansson,se SWE,DF,Brentford,31,1991,12,9,724,8.0,1,0,1,1,0,0,0,0
249,Mathias Jensen,dk DEN,MF,Brentford,26,1996,37,37,"2,803",31.1,5,6,11,5,0,0,5,0
250,Gabriel Jesus,br BRA,FW,Arsenal,25,1997,26,24,"2,064",22.9,11,6,17,10,1,1,6,0
251,Raúl Jiménez,mx MEX,FW,Wolves,31,1991,15,8,846,9.4,0,1,1,0,0,0,0,0
252,Joelinton,br BRA,"MF,FW",Newcastle Utd,25,1996,32,30,"2,661",29.6,6,1,7,6,0,0,12,0
253,Ben Johnson,eng ENG,DF,West Ham,22,2000,17,9,866,9.6,0,0,0,0,0,0,0,0
